window_label,event_type,detected_index,published_index,detected_age_ka,published_age_ka,age_error_ka,abs_age_error_ka,tolerance_ka,d_cut,sigma_cut,change_cut_setting
0.4-4,strong_monsoon_start,4,5,29.43,29.43,0.0,0.0,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,32,34,157.05,157.05,0.0,0.0,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,39,41,176.25,176.25,0.0,0.0,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,71,74,458.90002063725,458.9,2.0637250031541043e-05,2.0637250031541043e-05,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,25,26,89.79012499999999,89.79,0.0001249999999828333,0.0001249999999828333,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,1,2,14.61675,14.617,-0.0002500000000011937,0.0002500000000011937,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,10,11,43.61525,43.615,0.0002500000000011937,0.0002500000000011937,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,18,20,69.1803,69.18,0.0002999999999957481,0.0002999999999957481,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,21,23,76.2457,76.245,0.0006999999999948159,0.0006999999999948159,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,19,21,72.2859,72.285,0.0009000000000014552,0.0009000000000014552,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,15,17,58.211200000000005,58.21,0.0012000000000043087,0.0012000000000043087,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,53,54,264.0017,264.0,0.0017000000000280124,0.0017000000000280124,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,16,18,59.7829,59.785,-0.0020999999999986585,0.0020999999999986585,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,7,8,35.53275,35.535,-0.0022499999999965326,0.0022499999999965326,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,59,62,351.4475,351.45,-0.0024999999999977263,0.0024999999999977263,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,12,13,49.64745,49.65,-0.002549999999999386,0.002549999999999386,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,5,6,32.67225,32.675,-0.00274999999999892,0.00274999999999892,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,11,12,47.25275,47.25,0.00274999999999892,0.00274999999999892,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,6,7,33.998,33.995,0.0030000000000001137,0.0030000000000001137,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,8,9,38.308,38.305,0.0030000000000001137,0.0030000000000001137,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,60,63,365.6535,365.65,0.003500000000030923,0.003500000000030923,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,3,4,27.958750000000002,27.955,0.003750000000003695,0.003750000000003695,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,26,27,105.15378379352578,105.15,0.003783793525769852,0.003783793525769852,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,17,19,65.48384999999999,65.48,0.003849999999985698,0.003849999999985698,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,30,31,147.655,147.65,0.0049999999999954525,0.0049999999999954525,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,33,36,160.495,160.5,-0.0049999999999954525,0.0049999999999954525,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,84,85,561.2570499999999,561.25,0.007049999999935608,0.007049999999935608,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,93,94,633.30795,633.3,0.00795000000005075,0.00795000000005075,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,85,86,562.24095,562.25,-0.009050000000002001,0.009050000000002001,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,37,39,169.56,169.55,0.009999999999990905,0.009999999999990905,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,68,71,426.0392601558315,426.05,-0.010739844168483614,0.010739844168483614,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,82,83,555.66125,555.65,0.01125000000001819,0.01125000000001819,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,79,80,531.73785,531.75,-0.012150000000019645,0.012150000000019645,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,75,78,483.63690170929044,483.65,-0.013098290709535831,0.013098290709535831,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,83,84,559.1352,559.15,-0.014799999999922875,0.014799999999922875,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,61,64,368.115,368.1,0.014999999999986358,0.014999999999986358,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,72,75,463.1322604417651,463.15,-0.017739558234893593,0.017739558234893593,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,55,56,293.9178,293.9,0.017800000000022465,0.017800000000022465,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,66,69,393.5816900862267,393.6,-0.018309913773350672,0.018309913773350672,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,34,37,163.82,163.8,0.01999999999998181,0.01999999999998181,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,38,40,173.13,173.15,-0.020000000000010232,0.020000000000010232,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,74,77,472.7704545818224,472.75,0.020454581822377804,0.020454581822377804,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,69,72,447.3791051375909,447.4,-0.02089486240907945,0.02089486240907945,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,52,53,258.772,258.75,0.02199999999999136,0.02199999999999136,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,81,82,553.52405,553.55,-0.025949999999966167,0.025949999999966167,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,94,95,638.0735,638.1,-0.02650000000005548,0.02650000000005548,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,64,67,377.422,377.45,-0.027999999999963165,0.027999999999963165,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,58,61,337.3835,337.35,0.03350000000000364,0.03350000000000364,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,63,66,375.916,375.95,-0.033999999999991815,0.033999999999991815,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,27,28,108.51467469932942,108.55,-0.035325300670578486,0.035325300670578486,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,20,22,75.3285,75.28,0.048500000000004206,0.048500000000004206,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,41,43,182.5,182.55,-0.05000000000001137,0.05000000000001137,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,14,16,55.798,55.745,0.05300000000000438,0.05300000000000438,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,73,76,466.00933331939416,465.95,0.0593333193941703,0.0593333193941703,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,23,25,85.0613,85.0,0.0613000000000028,0.0613000000000028,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,31,32,149.12,149.05,0.06999999999999318,0.06999999999999318,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,2,3,23.75625,23.685,0.0712500000000027,0.0712500000000027,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,91,92,627.62725,627.55,0.07725000000004911,0.07725000000004911,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,48,49,230.6724032681964,230.75,-0.07759673180359528,0.07759673180359528,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,9,10,41.6761,41.595,0.08109999999999928,0.08109999999999928,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,51,52,251.23250000000002,251.15,0.08250000000001023,0.08250000000001023,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,56,58,316.44,316.35,0.08999999999997499,0.08999999999997499,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,22,24,84.030275,84.13,-0.09972499999999229,0.09972499999999229,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,92,93,629.9672499999999,630.1,-0.13275000000010095,0.13275000000010095,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,62,65,370.898,370.75,0.14800000000002456,0.14800000000002456,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,42,44,190.485,190.65,-0.16499999999999204,0.16499999999999204,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,80,81,548.0759499999999,548.25,-0.1740500000000793,0.1740500000000793,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,43,45,192.575,192.75,-0.17500000000001137,0.17500000000001137,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,44,46,199.13,198.95,0.18000000000000682,0.18000000000000682,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,76,79,503.94836978568867,504.15,-0.201630214311308,0.201630214311308,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,13,15,54.14675,54.37,-0.22325000000000017,0.22325000000000017,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,86,87,580.52925,580.3,0.22925000000009277,0.22925000000009277,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,36,38,168.5,168.75,-0.25,0.25,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,87,88,583.2346,582.95,0.2845999999999549,0.2845999999999549,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,65,68,391.09707467481905,390.8,0.2970746748190436,0.2970746748190436,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,0,1,11.18636,11.514,-0.3276399999999988,0.3276399999999988,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,70,73,449.7844123349564,449.45,0.33441233495642564,0.33441233495642564,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,28,29,128.939,128.55,0.3889999999999816,0.3889999999999816,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,88,89,593.47185,593.9,-0.4281499999999596,0.4281499999999596,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,90,91,626.0952,625.65,0.4451999999999998,0.4451999999999998,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,49,50,242.174,241.65,0.5240000000000009,0.5240000000000009,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,50,51,248.77550000000002,248.25,0.5255000000000223,0.5255000000000223,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,57,60,334.69399999999996,334.05,0.6439999999999486,0.6439999999999486,0.8,0.7,1.5,default
0.4-4,strong_monsoon_start,54,55,273.5077,272.85,0.6576999999999771,0.6576999999999771,0.8,0.7,1.5,default
