order,start_time_ka_BP,original_value_in_table,transition_type,ks_window_kyr,relation_to_other_ks_window,paired_other_window_age_ka,difference_0p4_minus_0p6_ka,source_table,source_pdf_page,source_row_index_in_table,published_start_age_ka,event_index,event_type,event_label,event_short_label,color,source,age_error_2sigma_kyr,age_sigma_kyr,sampling_lower_bound_ka,sampling_upper_bound_ka,sampling_bound_width_ka,truncated_gaussian_mass_kept,rank_lower_midpoint_ka,rank_upper_midpoint_ka
1,10.824,10.824,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,11.129,-0.305,Rousseau et al. 2023 Scientific Reports Table 1,5,2,10.824,1,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.034429462683376,0.517214731341688,9.789570537316624,11.169,1.379429462683376,0.7248747766744175,0.0,11.169
2,11.514,11.514,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,3,11.514,2,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.0366640119581372,0.5183320059790686,11.169,12.550664011958137,1.3816640119581365,0.7244153650919867,11.169,13.0655
3,14.617,14.617,strong_monsoon_start,0.4-4,common_same_date,14.617,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,5,14.617,3,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.046772820481784,0.523386410240892,13.570227179518216,15.663772820481785,2.093545640963569,0.9544997361036418,13.0655,19.151
4,23.685,23.685,strong_monsoon_start,0.4-4,common_same_date,23.685,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,7,23.685,4,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.0768826123365425,0.5384413061682712,22.608117387663455,24.761882612336542,2.153765224673087,0.9544997361036418,19.151,25.82
5,27.955,27.955,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,11,27.955,5,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.0913593418518739,0.5456796709259369,26.863640658148125,28.6925,1.8288593418518744,0.8889862924313031,25.82,28.6925
6,29.43,29.43,strong_monsoon_start,0.4-4,common_same_date,29.43,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,13,29.43,6,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.0964051789614357,0.5482025894807179,28.6925,30.526405178961436,1.8339051789614373,0.8879865811196976,28.6925,31.0525
7,32.675,32.675,strong_monsoon_start,0.4-4,common_same_date,32.675,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,16,32.675,7,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.1075882890906332,0.5537941445453166,31.567411710909365,33.334999999999994,1.7675882890906287,0.8605758299290345,31.0525,33.334999999999994
8,33.995,33.995,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,34.065,-0.07,Rousseau et al. 2023 Scientific Reports Table 1,5,18,33.995,8,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.1121699251795845,0.5560849625897922,33.334999999999994,34.765,1.4300000000000068,0.7992852571176785,33.334999999999994,34.765
9,35.535,35.535,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,35.6,-0.065,Rousseau et al. 2023 Scientific Reports Table 1,5,20,35.535,9,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.117539121291943,0.5587695606459715,34.765,36.65253912129194,1.8875391212919368,0.8931525186951884,34.765,36.92
10,38.305,38.305,strong_monsoon_start,0.4-4,common_same_date,38.305,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,22,38.305,10,strong_monsoon_start,Strong monsoon starts,Strong,#d95f02,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,1.127262027572195,0.5636310137860975,37.177737972427806,39.43226202757219,2.254524055144387,0.9544997361036414,36.92,39.95
